,area_name,h_mean,avg_wagegap(hr)_STEM_vs_state,a_mean,avg_wagegap(yr)_STEM_vs_state,tot_emp_STEM,STEM_percentage,year
52,Puerto Rico,25.59,11.332678957406229,53230,23574.652256834073,37070,4.284806102987921,2019
53,Virgin Islands,28.88,6.786920395119115,60080,14127.280650784429,1000,2.9052876234747242,2019
54,Alabama,43.57,21.07509733555414,90630,43834.32075283337,112570,5.91474403770472,2020
55,Alaska,43.79,14.11421127235909,91080,29367.267634154574,19710,6.652041849476882,2020
56,Arizona,43.67,18.03021956897464,90840,37504.72029205319,193370,6.82057070297344,2020
57,Arkansas,38.15,16.630123783811317,79360,34612.524069074425,48220,4.093865145263444,2020
58,California,57.2,25.633174808559122,118970,53309.6403918041,1307860,7.959875014150375,2020
59,Colorado,48.57,19.362264507370057,101020,40272.423933281614,244390,9.479829325058185,2020
60,Connecticut,48.6,17.16881398171163,101090,35718.17479735474,113190,7.345850071712734,2020
61,Delaware,48.7,21.469964351048365,101300,44656.033585064964,28710,6.733430273464984,2020
62,District of Columbia,56.69,10.899419340755294,117920,22666.142763588738,72750,10.587208033180529,2020
63,Florida,41.11,17.079903230965144,85500,35517.46413954453,427060,5.058903663339947,2020
64,Georgia,44.47,19.521574711043034,92490,40598.13090098872,272580,6.326416933574711,2020
65,Hawaii,42.01,14.050282399261334,87390,29222.30588317277,28340,4.937196216093796,2020
66,Idaho,39.14,16.661521660499155,81420,34655.965053838234,44080,6.132272335216048,2020
67,Illinois,46.23,18.338637997608245,96160,38153.0146757006,337880,6.003905701649172,2020
68,Indiana,39.84,16.46630481712206,82860,34248.02134089928,156600,5.3660642694134335,2020
69,Iowa,39.64,15.97138640198106,82440,33208.39419832372,81590,5.550642211821052,2020
70,Kansas,39.07,15.717531682633112,81260,32695.475840115316,79110,5.939367548575032,2020
71,Kentucky,36.51,14.412694689719391,75930,29961.976965970673,80010,4.488438106564642,2020
72,Louisiana,39.62,17.29937911163666,82410,35983.4778408807,69150,3.8389154439318487,2020
73,Maine,40.19,15.582318029310013,83590,32415.7710828712,30010,5.2170436173356745,2020
74,Maryland,51.75,21.21468313892423,107650,44135.8818563394,256930,10.183390605739923,2020
75,Massachusetts,52.59,18.97531960117022,109380,39461.06740700937,320080,9.555197325213445,2020
76,Michigan,43.03,17.394783805341987,89490,36168.9304563444,291370,7.425312371782947,2020
77,Minnesota,45.78,17.584576632850457,95210,36558.872177675396,199150,7.35207253503448,2020
78,Mississippi,36.73,16.73450608742489,76390,34809.70171153685,38200,3.547515346254214,2020
79,Missouri,40.83,16.7470686798285,84920,34831.642282342975,156370,5.809512486903798,2020
80,Montana,34.6,11.887350971566583,71970,24737.011307498076,25760,5.6559446701064875,2020
81,Nebraska,39.18,15.03251700175057,81490,31268.387459551217,56440,5.988011246087741,2020
82,Nevada,39.87,15.670210095454323,82930,32599.80517404026,48330,3.8637417456789733,2020
83,New Hampshire,46.95,19.70583536477084,97650,40989.24462812586,47970,7.744216457065367,2020
84,New Jersey,53.02,22.43059126453312,110270,46646.70223171564,264950,7.004182153676965,2020
85,New Mexico,45.45,21.6069016952604,94540,44939.74329277605,52690,6.7059512294456045,2020
86,New York,50.97,18.374506721555917,106010,38211.80160019513,489030,5.62657051075541,2020
87,North Carolina,44.51,20.010864065105107,92580,41634.15453135748,291450,6.796161783394933,2020
88,North Dakota,37.26,12.060043495650433,77490,25066.160133986603,17750,4.437056294370563,2020
89,Ohio,42.16,17.419434963036785,87690,36230.16856316447,307910,5.9933353316957145,2020
90,Oklahoma,40.93,18.193035552029077,85130,37827.10362303075,81190,5.1952290149605185,2020
91,Oregon,43.54,16.22557348017377,90570,33758.46459503583,131590,7.282437256149866,2020
92,Pennsylvania,43.59,17.67940610872042,90670,36782.15423466833,350520,6.359077813980828,2020
93,Rhode Island,46.86,17.92648205012418,97480,37293.06750959584,28730,6.486791600812825,2020
94,South Carolina,39.0,16.79956829391741,81130,34946.89856395701,102520,5.087184780127626,2020
95,South Dakota,34.84,13.239681702127662,72470,27543.860425531915,20380,4.955623100303951,2020
96,Tennessee,38.92,16.089828191238407,80950,33450.15548537955,150610,5.186634111735961,2020
97,Texas,46.48,21.31810368547648,96680,44334.1919971047,811360,6.704141420234219,2020
98,Utah,39.96,15.266787484385706,83120,31752.701374058102,113790,7.641938993431922,2020
99,Vermont,39.62,13.953166826769131,82400,29017.314547977374,16440,5.8490767424485,2020
100,Virginia,51.4,22.520277368002983,106910,46849.41235592588,353730,9.557119004004084,2020
101,Washington,55.84,23.739952397346016,116160,49383.032329744616,340330,10.651289434151227,2020
102,West Virginia,37.03,15.226885124844234,77020,31658.15664374394,28690,4.413778249565391,2020
103,Wisconsin,39.51,14.895711196557855,82190,30992.084252787885,167970,6.1982922131117295,2020
104,Wyoming,36.23,11.637762237762235,75360,24210.36111429554,12060,4.60850624785051,2020
105,Guam,30.26,12.254736192533173,62950,25501.018204257947,2420,3.7334156124652886,2020
106,Puerto Rico,26.15,11.380715096065872,54390,23659.656236657516,36430,4.444037816407442,2020
107,Virgin Islands,28.87,5.819865319865318,60050,12105.319865319863,1070,3.0022446689113353,2020
108,Alabama,44.37,21.24260949842073,92290,44178.60682222487,114200,5.922898589810748,2021
109,Alaska,44.4,13.879841489793158,92340,28862.592943085037,19330,6.533053940786806,2021
110,Arizona,45.76,19.236614688198614,95180,40006.176319480124,188040,6.527625421775414,2021
111,Arkansas,39.01,16.655432448090274,81150,34645.98895055457,47020,3.9479097572648425,2021
112,California,59.24,26.30656628842074,123210,54703.29377651648,1309560,7.922414111232978,2021
113,Colorado,50.2,19.965788489856337,104420,41528.84005890117,242380,9.246415955198486,2021
114,Connecticut,50.01,18.21647396015379,104020,37893.61513774586,109580,6.96387150074672,2021
115,Delaware,50.53,21.76984733700643,105100,45275.71235078053,31210,7.164830119375575,2021
116,District of Columbia,57.58,10.285219269755423,119760,21393.610133389724,76040,11.486925389368098,2021
117,Florida,41.87,16.890910009970227,87090,35139.54915508702,434920,5.053906633107202,2021
118,Georgia,46.22,20.28577074430789,96130,42188.38697889426,262590,5.99735521636751,2021
119,Hawaii,42.87,14.138983607155229,89180,29426.166554220385,28010,5.107492569427983,2021
120,Idaho,38.49,15.443183469633116,80060,32119.938301779606,44160,5.834247136383454,2021
121,Illinois,46.61,17.937125598878062,96950,37307.71233920169,319900,5.6933459575286,2021
122,Indiana,39.76,15.509916705771936,82710,32275.081115505796,146350,4.905476972581618,2021
123,Iowa,41.64,17.046594207290386,86610,35462.58240907224,82550,5.559034862657158,2021
124,Kansas,40.13,16.24573735970788,83470,33792.642308295435,76500,5.712493559443535,2021
125,Kentucky,36.56,13.405521540469973,76040,27873.15078328982,79320,4.3146214099216715,2021
126,Louisiana,39.86,16.912177898205293,82900,35164.60250556141,64200,3.579373442387141,2021
127,Maine,41.23,15.640379391891887,85750,32515.27567567568,29820,5.037162162162162,2021
128,Maryland,53.22,21.53881484216356,110690,44784.919972191565,258230,10.14261642818707,2021
129,Massachusetts,55.32,20.251404612221094,115060,42120.014258527124,310450,9.14578460196909,2021
130,Michigan,43.3,16.780462722339497,90070,34905.9597701291,293880,7.239012037924265,2021
131,Minnesota,46.7,17.62786692845156,97140,36665.96321117924,197520,7.221753008149701,2021
132,Mississippi,35.77,15.242668125005675,74410,31712.868813027024,36840,3.3438926759310523,2021
133,Missouri,40.91,16.196852021553457,85080,33687.5633591144,151620,5.557714160038122,2021
134,Montana,34.49,10.767921230036368,71740,22403.310720285815,26850,5.7099717159687815,2021
135,Nebraska,39.92,14.862977271304242,83030,30919.881243086427,57400,5.990023584413416,2021
136,Nevada,39.27,14.709685226267865,81680,30601.91377464745,49740,3.8582664949813057,2021
137,New Hampshire,48.44,19.941028305154116,100760,41486.61377160669,46060,7.251031138818047,2021
138,New Jersey,55.34,23.07295868807497,115110,47992.8678101511,276770,7.188420401951056,2021
139,New Mexico,46.82,21.887616864553017,97390,45526.24307827027,53280,6.861204831689288,2021
140,New York,52.82,18.944986059602847,109870,39410.48196745895,481860,5.558394518430509,2021
141,North Carolina,47.04,21.50991990085979,97830,44725.349048624834,300820,6.802773393155165,2021
142,North Dakota,37.8,12.131847314331996,78620,25240.370576621273,16780,4.247456082620362,2021
143,Ohio,42.61,17.0494516470776,88620,35445.160381693626,304580,5.856147724585322,2021
144,Oklahoma,40.73,17.47748570108036,84710,36349.75446299613,79710,5.116798582625609,2021
145,Oregon,46.91,18.509718632386853,97560,38490.22450242964,136860,7.497658009061177,2021
146,Pennsylvania,43.62,16.939275836809404,90730,35247.19266541415,349380,6.257466315387908,2021
147,Rhode Island,48.99,19.12489950187888,101890,39767.79690640566,28820,6.2964257624748745,2021
148,South Carolina,40.06,17.2260505095945,83320,35822.57133597442,99820,4.8284502232348006,2021
149,South Dakota,37.15,14.647225981055477,77270,30465.08795669824,20330,4.826341903473162,2021
150,Tennessee,39.89,16.17848401655261,82960,33629.21971046323,151010,5.055844973282801,2021
151,Texas,46.96,20.884682660228023,97680,43449.84939682664,811790,6.6397735349663884,2021
152,Utah,41.55,15.878352576431006,86430,33032.149073436805,117790,7.576527494580844,2021
153,Vermont,40.69,14.032201838092888,84640,29194.5138913342,16540,5.824148737631607,2021
154,Virginia,52.58,22.60978559800492,109370,47033.4328564996,349310,9.306916975511758,2021
155,Washington,56.71,23.666202942671866,117950,49209.53545461067,326530,10.18518807335157,2021
156,West Virginia,36.96,14.607857924826664,76880,30385.111300328426,27280,4.147913879090135,2021
157,Wisconsin,40.11,14.573041584388431,83430,30310.424120106865,168090,6.101536183064235,2021
158,Wyoming,36.36,11.304635934441325,75620,23517.08286953518,11570,4.440947299735155,2021
159,Guam,30.15,11.054889535879429,62720,23003.783182051724,2260,3.8705257749614663,2021
160,Puerto Rico,26.64,11.98507365402164,55400,24919.365141441795,34760,4.1194107678268805,2021
161,Virgin Islands,32.93,9.861978352375225,68490,20512.525556223693,880,2.6458208057727,2021
162,Alabama,46.03,21.694969660678645,95730,45110.12105788423,120260,6.0009980039920165,2022
