,area_name,education_category,tot_emp,pct_total ,h_mean,a_mean
156,Maine,Postsecondary nondegree award,41820,6.73,24.12,50160
157,Maine,"Some college, no degree",20080,3.23,22.44,46680
158,Maine,High school diploma or equivalent,242400,38.99,24.01,49950
159,Maine,No formal educational credential,136290,21.92,18.74,38980
160,Maryland,Doctoral or professional degree,86060,3.21,78.25,162750
161,Maryland,Master's degree,68890,2.57,49.88,103740
162,Maryland,Bachelor's degree,828510,30.94,53.29,110840
163,Maryland,Associate's degree,67260,2.51,36.06,75010
164,Maryland,Postsecondary nondegree award,146420,5.47,26.59,55310
165,Maryland,"Some college, no degree",59700,2.23,24.43,50810
166,Maryland,High school diploma or equivalent,871260,32.54,26.08,54250
167,Maryland,No formal educational credential,549330,20.52,18.11,37660
168,Massachusetts,Doctoral or professional degree,152220,4.18,75.5,157040
169,Massachusetts,Master's degree,100780,2.77,49.07,102060
170,Massachusetts,Bachelor's degree,1124110,30.85,58.05,120750
171,Massachusetts,Associate's degree,78740,2.16,34.27,71280
172,Massachusetts,Postsecondary nondegree award,200790,5.51,27.74,57690
173,Massachusetts,"Some college, no degree",97000,2.66,27.12,56420
174,Massachusetts,High school diploma or equivalent,1217480,33.42,28.37,59020
175,Massachusetts,No formal educational credential,672340,18.45,20.18,41980
176,Michigan,Doctoral or professional degree,104610,2.41,72.02,149810
177,Michigan,Master's degree,78080,1.8,43.04,89530
178,Michigan,Bachelor's degree,1042670,23.98,45.16,93920
179,Michigan,Associate's degree,96100,2.21,29.97,62340
180,Michigan,Postsecondary nondegree award,263840,6.07,24.07,50060
181,Michigan,"Some college, no degree",106860,2.46,21.37,44440
182,Michigan,High school diploma or equivalent,1741000,40.04,23.73,49350
183,Michigan,No formal educational credential,914800,21.04,17.35,36100
184,Minnesota,Doctoral or professional degree,70850,2.46,80.79,168040
185,Minnesota,Master's degree,55080,1.91,45.59,94830
186,Minnesota,Bachelor's degree,744660,25.85,48.68,101260
187,Minnesota,Associate's degree,69250,2.4,32.08,66730
188,Minnesota,Postsecondary nondegree award,163490,5.67,26.73,55590
189,Minnesota,"Some college, no degree",80590,2.8,23.51,48910
190,Minnesota,High school diploma or equivalent,1101580,38.23,25.86,53790
191,Minnesota,No formal educational credential,595600,20.67,18.35,38170
192,Mississippi,Doctoral or professional degree,23460,2.04,65.19,135590
193,Mississippi,Master's degree,23480,2.04,38.22,79500
194,Mississippi,Bachelor's degree,202770,17.63,35.69,74230
195,Mississippi,Associate's degree,23780,2.07,25.32,52670
196,Mississippi,Postsecondary nondegree award,84280,7.33,22.01,45780
197,Mississippi,"Some college, no degree",25840,2.25,17.09,35550
198,Mississippi,High school diploma or equivalent,475300,41.33,20.35,42330
