area_name,tot_emp_STEM,STEM_percentage,state_avg_hr_earn,state_avg_yr_earn,year
Michigan,310510,7.310452315255163,27.886296392213737,58003.71165961935,2022
Minnesota,199590,7.059360310684007,30.594102203154232,63635.506683030864,2022
Mississippi,37810,3.3414343157615662,21.728687817595333,45182.48499845345,2022
Missouri,158890,5.634996630847254,26.21402188176047,54520.31471433131,2022
Montana,27200,5.555669029187688,25.10723687166813,52222.25270123981,2022
Nebraska,59550,6.135822694816234,26.474865073722604,55071.336589286264,2022
Nevada,54570,3.864238269908935,26.674460904417288,55488.7704825164,2022
New Hampshire,51150,7.759169928096841,30.076756621461726,62548.52279967234,2022
New Jersey,297300,7.2346503982342885,34.08377445314268,70896.58270448899,2022
New Mexico,54850,6.698827552515876,26.156475329750855,54393.57779677577,2022
New York,507660,5.573212221413492,36.0010907977117,74870.27013052026,2022
